age,total,air_force,army,marines,navy
0-10,0,0,0,0,0
11-20,0.171,0.14625,0.16725,0.2516,0.1553
21-30,0.496,0.47875,0.48575,0.5614,0.491
31-40,0.254,0.299,0.253,0.147,0.269
41-50,0.072,0.068,0.085,0.036,0.078
51-60,0.008,0.007,0.009,0.004,0.008
61-70,0,0,0,0,0
71-80,0,0,0,0,0
81+,0,0,0,0,0
,,,,,
,,,,,
